date,year,month,day,voltage,arus,power,energy,frequency,powerfactor
25/02/2021,2021,2,25,197.9,0.14,24.3,2.07,49.9,0.85
25/02/2021,2021,2,25,192.9,0.14,23.2,2.07,49.9,0.85
25/02/2021,2021,2,25,195.1,0.14,23.7,2.08,49.9,0.86
25/02/2021,2021,2,25,194.7,0.14,23.6,2.08,50,0.85
25/02/2021,2021,2,25,198.8,0.15,24.5,2.09,50,0.85
25/02/2021,2021,2,25,197,0.14,24.1,2.1,50,0.86
25/02/2021,2021,2,25,192.7,0.14,23.1,2.1,49.8,0.86
25/02/2021,2021,2,25,188.7,0.14,22.3,2.11,50,0.86
25/02/2021,2021,2,25,189.4,0.14,22.4,2.11,50,0.85
25/02/2021,2021,2,25,194,0.14,23.4,2.12,49.9,0.86
25/02/2021,2021,2,25,193.9,0.14,23.4,2.12,49.9,0.86
25/02/2021,2021,2,25,192,0.14,23,2.13,49.8,0.86
25/02/2021,2021,2,25,190.3,0.14,22.5,2.14,49.9,0.85
25/02/2021,2021,2,25,194.9,0.17,32.1,2.14,49.9,0.97
25/02/2021,2021,2,25,191,0.17,31,2.15,50,0.97
25/02/2021,2021,2,25,195.3,0.17,32.3,2.16,49.9,0.98
25/02/2021,2021,2,25,192.2,0.17,31.3,2.17,49.9,0.98
25/02/2021,2021,2,25,189.8,0.17,30.6,2.17,49.9,0.98
25/02/2021,2021,2,25,191,0.17,31,2.18,49.9,0.97
25/02/2021,2021,2,25,194.6,0.17,32.1,2.19,50.1,0.98
25/02/2021,2021,2,25,196.2,0.17,32.5,2.2,49.9,0.97
25/02/2021,2021,2,25,196,0.17,32.5,2.21,49.9,0.98
25/02/2021,2021,2,25,201.2,0.17,34,2.21,50,0.98
25/02/2021,2021,2,25,206.3,0.18,35.6,2.22,50,0.97
25/02/2021,2021,2,25,204.9,0.18,35.1,2.23,49.9,0.97
25/02/2021,2021,2,25,205.8,0.18,35.5,2.24,50.1,0.97
25/02/2021,2021,2,25,208.5,0.18,36.3,2.25,50,0.98
25/02/2021,2021,2,25,206.8,0.18,35.7,2.26,50,0.98
25/02/2021,2021,2,25,198.7,0.17,33.3,2.27,49.7,0.98
25/02/2021,2021,2,25,193.9,0.17,31.8,2.28,49.8,0.98
25/02/2021,2021,2,25,190.5,0.17,30.9,2.28,49.9,0.98
25/02/2021,2021,2,25,186.4,0.16,29.8,2.29,49.9,0.97
25/02/2021,2021,2,25,191.5,0.17,31.2,2.3,49.8,0.98
